growth1 oneseas 3.30.24.1 
Morph	Yr	Seas	SubSeas	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
1	1982	1	1	21.6597	28.7297	34.8318	40.0985	44.5769	48.4734	51.8364	54.739	57.2442	59.4064	61.2727	62.8834	64.2736	65.4735	66.5091	67.403	68.1744	68.8403	69.415	69.911	70.3391	70.7086	71.0275	71.3027	71.5403	71.7453	71.9223	72.0751	72.2069	72.3207	72.4189	72.5036	72.5768	72.6399	72.6944	72.7415	72.7821	72.8171	72.8474	72.8735	72.9763
1	1982	1	2	25.3248	31.893	37.562	42.4549	46.6155	50.2354	53.3598	56.0564	58.3838	60.3926	62.1264	63.6228	64.9143	66.0291	66.9912	67.8216	68.5383	69.1569	69.6908	70.1516	70.5493	70.8926	71.1889	71.4446	71.6653	71.8558	72.0202	72.1621	72.2846	72.3903	72.4815	72.5603	72.6282	72.6869	72.7375	72.7812	72.8189	72.8515	72.8796	72.9038	72.9994
1	1983	1	1	21.6597	28.7297	34.8318	40.0985	44.6441	48.5095	51.8725	54.7751	57.2803	59.4425	61.3088	62.9195	64.3097	65.5096	66.5452	67.439	68.2105	68.8764	69.451	69.9471	70.3752	70.7447	71.0636	71.3388	71.5764	71.7814	71.9584	72.1111	72.243	72.3568	72.455	72.5397	72.6129	72.676	72.7305	72.7776	72.8182	72.8532	72.8834	72.9095	73.0124
1	1983	1	2	25.3248	31.893	37.562	42.4549	46.678	50.269	53.3933	56.0899	58.4173	60.4261	62.1599	63.6563	64.9479	66.0626	67.0247	67.8551	68.5718	69.1904	69.7243	70.1851	70.5829	70.9261	71.2224	71.4781	71.6988	71.8893	72.0537	72.1956	72.3181	72.4238	72.5151	72.5938	72.6618	72.7204	72.7711	72.8148	72.8525	72.885	72.9131	72.9374	73.0329
1	1984	1	1	21.6597	28.7297	34.8318	40.0985	44.6441	48.5675	51.9036	54.8062	57.3114	59.4737	61.3399	62.9506	64.3408	65.5407	66.5763	67.4702	68.2416	68.9075	69.4822	69.9782	70.4063	70.7758	71.0947	71.37	71.6075	71.8126	71.9895	72.1423	72.2741	72.3879	72.4861	72.5709	72.644	72.7072	72.7617	72.8087	72.8493	72.8843	72.9146	72.9407	73.0435
1	1984	1	2	25.3248	31.893	37.562	42.4549	46.678	50.3229	53.4222	56.1188	58.4463	60.4551	62.1888	63.6852	64.9768	66.0915	67.0536	67.884	68.6008	69.2193	69.7533	70.2141	70.6118	70.9551	71.2513	71.5071	71.7278	71.9183	72.0827	72.2246	72.347	72.4528	72.544	72.6227	72.6907	72.7494	72.8	72.8437	72.8814	72.914	72.9421	72.9663	73.0618
1	1985	1	1	21.6597	28.7297	34.8318	40.0985	44.6441	48.5675	51.9537	54.8331	57.3383	59.5006	61.3668	62.9775	64.3677	65.5676	66.6032	67.4971	68.2685	68.9344	69.5091	70.0051	70.4332	70.8027	71.1216	71.3968	71.6344	71.8395	72.0164	72.1692	72.301	72.4148	72.513	72.5978	72.6709	72.7341	72.7886	72.8356	72.8762	72.9112	72.9415	72.9676	73.0704
1	1985	1	2	25.3248	31.893	37.562	42.4549	46.678	50.3229	53.4688	56.1438	58.4712	60.48	62.2138	63.7102	65.0018	66.1165	67.0786	67.909	68.6257	69.2443	69.7782	70.239	70.6368	70.98	71.2763	71.532	71.7527	71.9432	72.1076	72.2495	72.372	72.4777	72.569	72.6477	72.7157	72.7743	72.825	72.8687	72.9064	72.9389	72.967	72.9913	73.0868
1	1986	1	1	21.6597	28.7297	34.8318	40.0985	44.6441	48.5675	51.9537	54.8763	57.3615	59.5238	61.39	63.0007	64.3909	65.5908	66.6264	67.5203	68.2917	68.9576	69.5323	70.0283	70.4564	70.8259	71.1448	71.42	71.6576	71.8627	72.0396	72.1924	72.3242	72.438	72.5362	72.621	72.6941	72.7573	72.8118	72.8588	72.8994	72.9344	72.9647	72.9908	73.0936
1	1986	1	2	25.3248	31.893	37.562	42.4549	46.678	50.3229	53.4688	56.184	58.4928	60.5016	62.2354	63.7318	65.0233	66.138	67.1002	67.9306	68.6473	69.2659	69.7998	70.2606	70.6583	71.0016	71.2979	71.5536	71.7743	71.9648	72.1292	72.2711	72.3936	72.4993	72.5905	72.6693	72.7372	72.7959	72.8465	72.8902	72.9279	72.9605	72.9886	73.0128	73.1083
1	1987	1	1	21.6597	28.7297	34.8318	40.0985	44.6441	48.5675	51.9537	54.8763	57.3988	59.5438	61.41	63.0207	64.4109	65.6108	66.6464	67.5403	68.3118	68.9776	69.5523	70.0483	70.4764	70.8459	71.1648	71.4401	71.6776	71.8827	72.0597	72.2124	72.3442	72.458	72.5562	72.641	72.7141	72.7773	72.8318	72.8788	72.9194	72.9544	72.9847	73.0108	73.1136
1	1987	1	2	25.3248	31.893	37.562	42.4549	46.678	50.3229	53.4688	56.184	58.5274	60.5202	62.254	63.7504	65.0419	66.1567	67.1188	67.9492	68.6659	69.2845	69.8184	70.2792	70.6769	71.0202	71.3165	71.5722	71.7929	71.9834	72.1478	72.2897	72.4122	72.5179	72.6091	72.6879	72.7558	72.8145	72.8651	72.9088	72.9465	72.9791	73.0072	73.0314	73.1269
1	1988	1	1	21.6597	28.7297	34.8318	40.0985	44.6441	48.5675	51.9537	54.8763	57.3988	59.576	61.4273	63.038	64.4282	65.6281	66.6637	67.5576	68.329	68.9949	69.5696	70.0656	70.4937	70.8632	71.1821	71.4574	71.6949	71.9	72.0769	72.2297	72.3615	72.4753	72.5735	72.6583	72.7314	72.7946	72.8491	72.8961	72.9367	72.9717	73.002	73.0281	73.1308
1	1988	1	2	25.3248	31.893	37.562	42.4549	46.678	50.3229	53.4688	56.184	58.5274	60.5501	62.27	63.7664	65.058	66.1727	67.1348	67.9652	68.6819	69.3005	69.8344	70.2952	70.693	71.0362	71.3325	71.5882	71.8089	71.9994	72.1638	72.3058	72.4282	72.5339	72.6252	72.7039	72.7719	72.8305	72.8812	72.9249	72.9626	72.9951	73.0232	73.0475	73.1429
1	1989	1	1	21.6597	28.7297	34.8318	40.0985	44.6441	48.5675	51.9537	54.8763	57.3988	59.576	61.4551	63.0529	64.4431	65.643	66.6786	67.5725	68.344	69.0098	69.5845	70.0805	70.5086	70.8781	71.197	71.4723	71.7098	71.9149	72.0919	72.2446	72.3764	72.4902	72.5884	72.6732	72.7463	72.8095	72.864	72.911	72.9516	72.9866	73.0169	73.043	73.1457
1	1989	1	2	25.3248	31.893	37.562	42.4549	46.678	50.3229	53.4688	56.184	58.5274	60.5501	62.2958	63.7803	65.0718	66.1866	67.1487	67.9791	68.6958	69.3144	69.8483	70.3091	70.7068	71.0501	71.3464	71.6021	71.8228	72.0133	72.1777	72.3196	72.4421	72.5478	72.639	72.7178	72.7857	72.8444	72.895	72.9387	72.9764	73.009	73.0371	73.0613	73.1568
